科研机构名称,研究领域,省,市,县/区,中文文献数
浙江舞台设计研究院有限公司,建筑安装,浙江省,杭州市,滨江区,0
国网浙江新兴科技有限公司,新兴科技,浙江省,杭州市,滨江区,0
浙江省科技人才教育中心,教育、培训、考试,浙江省,杭州市,拱墅区,0
浙江省电信科学技术研究所,通信行业,浙江省,杭州市,拱墅区,0
轻工业自动化研究所,轻工业,浙江省,杭州市,拱墅区,0
浙江省计算技术研究所(浙江天正信息科技有限公司),电子信息技术,浙江省,杭州市,拱墅区,0
浙江竞天智能技术研究所,电子,浙江省,杭州市,拱墅区,0
浙江丝绸科技有限公司（浙江丝绸科学研究院）,纺织,浙江省,杭州市,临安区,0
浙江大学高端装备研究院,高端装备,浙江省,杭州市,临平区,0
浙江省医疗器械检验院,医疗器械,浙江省,杭州市,钱塘区,0
浙江省医疗器械研究所,医疗器械,浙江省,杭州市,钱塘区,0
杭州三花研究院有限公司,新能源、清洁技术,浙江省,杭州市,钱塘区,0
浙江省机械工业情报研究所,机械,浙江省,杭州市,上城区,0
浙江威星智能计量仪表研究所,电子信息,浙江省,杭州市,上城区,0
浙江纺织服装科技有限公司,纺织,浙江省,杭州市,上城区,0
浙江省广播电视科学研究所,广播电视,浙江省,杭州市,上城区,0
浙江赞宇科技股份有限公司（浙江省轻工业研究所）,轻工,浙江省,杭州市,上城区,0
浙江省科技发展战略研究院,科技发展,浙江省,杭州市,西湖区,0
杭州国电能源环境设计研究院有限公司,建筑节能,浙江省,杭州市,西湖区,0
浙江省工艺美术研究所有限公司,其他服务业,浙江省,杭州市,西湖区,0
浙江省电子技术研究所,电子、通讯,浙江省,杭州市,西湖区,0
浙江省电子信息产品检验所,电子信息,浙江省,杭州市,西湖区,0
杭州自动化技术研究院有限公司,高新技术,浙江省,杭州市,西湖区,0
浙江省安全生产科学研究院,安全生产,浙江省,杭州市,西湖区,0
浙江省家具与五金研究所,科学研究和综合技术服务业,浙江省,杭州市,西湖区,0
浙江省能源与核技术应用研究院,科学研究,浙江省,杭州市,西湖区,0
国家林业局竹子研究开发中心,林业,浙江省,杭州市,西湖区,0
杭州照相机械研究所,光学仪器制造,浙江省,杭州市,西湖区,0
中国空间技术研究院杭州中心,空间技术,浙江省,杭州市,西湖区,0
浙江省造纸研究所（浙江省普瑞科技有限公司）,轻工,浙江省,杭州市,萧山区,0
西安电子科技大学杭州研究院,电子科技,浙江省,杭州市,萧山区,0
浙江省长三角生物医药产业技术研究园,生物医药,浙江省,杭州市,萧山区,0
浙江省质量检测科学研究院,服务业,浙江省,杭州市,余杭区,0
轻工业杭州机电设计研究院,轻工业,浙江省,杭州市,余杭区,0
浙江大学先进电气装备创新中心,先进电气装备,浙江省,杭州市,余杭区,0
哈工大机器人湖州国际创新研究院,机器人,浙江省,湖州市,吴兴区,0
嘉兴学院G60科创走廊产业与创新研究院,科创产业,浙江省,嘉兴市,南湖区,0
乌镇实验室,新材料,浙江省,嘉兴市,桐乡市,0
宁波（北仑）中科海西产业技术创新中心,环境科学,浙江省,宁波市,北仑区,0
宁波杭州湾新材料研究院,新材料,浙江省,宁波市,慈溪市,0
甬江实验室,新材料,浙江省,宁波市,镇海区,0
台州市生物医化产业研究院有限公司,生物医化,浙江省,台州市,椒江区,0
瓯江实验室,再生调控与眼脑健康,浙江省,温州市,龙湾区,0
浙江省明矾石综合利用研究所,化工制造业,浙江省,温州市,鹿城区,0
国科温州研究院（温州生物材料与工程研究所）,温州生物材料与工程,浙江省,温州市,瓯海区,0
安徽省儿科医学研究所,儿科医学,安徽省,合肥市,包河区,0
安徽省食品药品检验研究所（安徽国家农副产品加工食品质量监督检验中心）,食品药品检验,安徽省,合肥市,包河区,0
安徽省安全生产科学研究院（安徽省安全事故调查分析技术中心）,安全生产,安徽省,合肥市,庐阳区,0
安徽省农业科学院植物保护及农产品质量安全研究所,植物保护及农产品质量安全研究,安徽省,合肥市,庐阳区,0
国家环境光学监测仪器工程技术研究中心（依托单位：中国科学院合肥物质科学研究院）,环境光学监测仪器工程,安徽省,合肥市,庐阳区,0
安徽工业技术创新研究院,工业技术,安徽省,合肥市,蜀山区,0
安徽中医药科学院,中医药,安徽省,合肥市,蜀山区,0
国家压力容器与管道安全工程技术研究中心（依托单位：合肥通用机械研究所）,压力容器与管道安全工程技术,安徽省,合肥市,蜀山区,3
国家车辆驾驶安全工程技术研究中心（依托单位：安徽三联科技股份有限公司）,车辆驾驶安全工程技术,安徽省,合肥市,蜀山区,6
国家电动客车整车系统集成工程技术研究中心（依托单位：安徽江淮汽车股份有限公司）,电动客车整车系统集成工程,安徽省,合肥市,蜀山区,0
国家农产品智能分选装备工程技术研究中心（依托单位：合肥美亚光电技术股份有限公司）,农产品智能分选装备工程技术,安徽省,合肥市,蜀山区,0
安徽省地质博物馆（安徽古生物化石博物馆、安徽省古生物化石科学研究所）,地质,安徽省,合肥市,蜀山区,2
合肥综合性国家科学中心人工智能研究院（安徽省人工智能实验室）,人工智能,安徽省,合肥市,蜀山区,8
安徽省检验检疫科学技术研究院,检疫科学技术,安徽省,合肥市,瑶海区,0
中科合肥智慧农业协同创新研究院,智慧农业,安徽省,合肥市,长丰县,0
机械工业第一设计研究院,机械工业,安徽省,蚌埠市,禹会区,0
蚌埠玻璃工业设计研究院,玻璃工业,安徽省,蚌埠市,禹会区,0
国家玻璃深加工工程技术研究中心(依托单位：蚌埠玻璃工业设计研究院),玻璃深加工,安徽省,蚌埠市,龙子湖区,0
蚌埠产品质量监督检验研究院,产品质量监督,安徽省,蚌埠市,蚌山区,0
池州市产品质量监督检验所（池州市纤维检验所）,产品质量监督,安徽省,池州市,贵池区,0
阜南县生物防治研究所,生物防治,安徽省,阜阳市,阜南县,0
临泉县中医药科学研究院,中医药,安徽省,阜阳市,临泉县,0
阜阳市农业机械研究所,机械,安徽省,阜阳市,颍泉区,0
阜阳市林业科学技术推广站（阜阳市林业科学研究院）,林业,安徽省,阜阳市,颍州区,2
煤炭科学研究总院爆破技术研究所,煤炭科学,安徽省,淮北市,杜集区,0
淮南市计量测试检定所,计量测试,安徽省,淮南市,大通区,0
淮南新能源研究中心,新能源,安徽省,淮南市,田家庵区,0
黄山市农业机械研究所,农业,安徽省,黄山市,屯溪区,0
黄山市农业科学研究所,农业,安徽省,黄山市,屯溪区,0
霍山县农业科学研究院,农业,安徽省,六安市,霍山县,0
舒城县农业科学研究院,农业,安徽省,六安市,舒城县,0
马鞍山钢铁设计研究院(中冶华天工程技术有限公司),钢铁设计,安徽省,马鞍山市,雨山区,0
国家金属矿山固体废物处理与处置工程技术研究中心（依托单位：马鞍山矿山研究院）,固体废物处理与处置工程技术,安徽省,马鞍山市,雨山区,0
化工部第三设计院（东华工程科技股份有限公司）,化工,安徽省,马鞍山市,花山区,0
安徽省国家铜铅锌及制品质量监督检验中心,铜铅锌及制品质量,安徽省,铜陵市,铜官区,0
铜陵市肿瘤防治研究所,肿瘤防治,安徽省,铜陵市,铜官区,0
铜陵市医学科学研究所,医学,安徽省,铜陵市,铜官区,0
铜陵市农业科学研究所,农业,安徽省,铜陵市,铜官区,0
铜陵市食品药品检验中心,食品药品检验,安徽省,铜陵市,铜官区,0
国家节能环保汽车工程技术研究中心(依托单位：奇瑞汽车集团有限公司),能环保汽车工程技术,安徽省,芜湖市,鸠江区,0
芜湖市标准计量情报所,标准计量情报,安徽省,芜湖市,鸠江区,0
芜湖特种电线电缆产品质量监督检验中心,特种电线电缆产品质量监督,安徽省,芜湖市,无为市,0
国家特种显示工程技术研究中心(依托单位：安徽华东光电技术研究所),特种显示工程技术,安徽省,芜湖市,弋江区,5
